get,Taxa
498,Fusobacteriales
499,Fusobacteriia
500,Fusobacteriota
501,FW22
502,FW113
503,FW113_cl
504,FW113_or
505,Ga0077536
506,Gaiellales
507,GAL15
508,GAL15_cl
509,GAL15_or
510,Gammaproteobacteria
511,Gammaproteobacteria_Incertae_Sedis
512,Gammaproteobacteria_or
513,Gammaproteobacteria_unclassified
514,Gastranaerophilales
515,Geitlerinematales
516,Gemmatales
517,Gemmatimonadales
518,Gemmatimonadetes
519,Gemmatimonadota
520,Gemmatimonadota_unclassified
521,Geoarchaeales
522,Geobacterales
523,GIF3
524,GIF9
525,Gitt-GS-136
526,Gitt-GS-136_or
527,Gloeobacterales
528,Glycomycetales
529,GN01
530,GN01_cl
531,GN01_or
532,GOUTB8
533,Gracilibacteria
534,Gracilibacteria_or
535,Gracilibacteria_unclassified
536,Granulosicoccales
537,Group_1.1c
538,Group_1.1c_or
539,GW2011-GWA2-46-7
540,GWA2-38-13b
541,GWB1-42-6
542,H3.93
543,Hadarchaeia
544,Hadarchaeia_or
545,Hadarchaeota
546,Hadesarchaeaeota
547,Hadesarchaeaeota_cl
548,Hadesarchaeaeota_or
549,Halanaerobiaeota
550,Halanaerobiales
551,Halanaerobiia
552,Haliangiales
553,Halobacterales
554,Halobacteria
555,Halobacteriales
556,Halobacterota
557,Haloplasmatales
558,Halothiobacillales
559,HDB-SIOI1093
560,HDB-SIOI1093_or
561,Heimdallarchaeia
562,Heimdallarchaeia_or
563,HgCo23
564,HglApr721
565,HOC36
566,Holophagae
567,Holophagales
568,Holosporales
569,Hydrogenedentes
570,Hydrogenedentia
571,Hydrogenedentiales
572,Hydrogenothermales
573,Hydrothermae
574,Hydrothermae_cl
575,Hydrothermae_or
576,Hydrothermarchaeales
577,Hydrothermarchaeia
578,Hydrothermarchaeota
579,Hydrothermarchaeota_cl
580,Hydrothermarchaeota_or
581,I3A
582,Iainarchaeales
583,Iainarchaeia
584,Iainarchaeota
585,Ignavibacteria
586,Ignavibacteriales
587,IMCC26256
588,Immundisolibacterales
589,Incertae_Sedis
590,Incertae_Sedis_or
591,Isosphaerales
592,Izemoplasmatales
593,JdFR-43
594,JdFR-54
595,JG30-KF-CM66
596,JG30-KF-CM66_or
597,JG36-GS-52
598,JG36-TzT-191
599,JGI_0000069-P22
600,JS1
601,JS1_or
602,JTB23
603,Kallotenuales
604,Kapabacteria
605,Kapabacteriales
606,Kazania
607,Kazania_or
608,KD4-96
609,KD4-96_or
610,KF-JG30-C25
611,KI89A_clade
612,Kiloniellales
613,Kineosporiales
614,Kiritimatiellae
615,Kiritimatiellaeota
616,Kiritimatiellales
617,KIST-JJY010
618,Korarchaeales
619,Korarchaeia
620,Korarchaeota
621,Kordiimonadales
622,Kosmotogales
623,Kryptonia
624,Kryptoniales
625,Ktedonobacterales
626,Ktedonobacteria
627,Ktedonobacteria_or
628,Kyrpidiales
629,KZNMV-5-B42
630,Lachnospirales
631,Lactobacillales
632,Latescibacterales
633,Latescibacteria
634,Latescibacteria_cl
635,Latescibacteria_or
636,Latescibacterota
637,Latescibacterota_cl
638,Latescibacterota_or
639,LCP-89
640,LCP-89_cl
641,LCP-89_or
642,LD1-PA32
643,LD1-PB3
644,Legionellales
645,Lentisphaerae
646,Lentisphaerae_unclassified
647,Lentisphaerales
648,Lentisphaeria
649,Leptolyngbyales
650,Leptospirae
651,Leptospirales
652,Leptospirillales
653,Leptospirillia
654,Limnochordales
655,Limnochordia
656,Limnochordia_or
657,Limnotrichales
658,Lineage_IIa
659,Lineage_IIa_or
660,Lineage_IIb
661,Lineage_IIb_or
662,Lineage_IIc
663,Lineage_IIc_or
664,Lineage_IV
665,Lokiarchaeia
666,Lokiarchaeia_or
667,Longimicrobia
668,Longimicrobiales
669,M55-D21
670,Magnetobacteriales
671,Magnetococcales
672,Magnetococcia
673,Margulisbacteria
674,Margulisbacteria_cl
675,Margulisbacteria_or
676,Marine_Benthic_Group_A
677,Marine_Benthic_Group_D_and_DHVEG-1
678,Marine_Group_II
679,Marine_Group_III
680,Marinimicrobia_(SAR406_clade)
681,Marinimicrobia_(SAR406_clade)_cl
682,Marinimicrobia_(SAR406_clade)_or
683,Mariprofundales
684,MAT-CR-H4-C10
685,MAT-CR-M4-B07
686,MAT-CR-M4-B07_cl
687,MAT-CR-M4-B07_or
688,MB-A2-108
689,MB-A2-108_or
690,MBA03
691,MBMPE27
692,MBNT15
693,MBNT15_cl
694,MBNT15_or
695,MD2894-B20
696,MD2896-B216
697,MD2896-B216_or
698,MD2902-B12
699,MD2902-B12_or
700,MD2904-B13
701,Melainabacteria
702,Melainabacteria_unclassified
703,Mesoaciditogales
704,Methanobacteria
705,Methanobacteriales
706,Methanocellales
707,Methanocellia
708,Methanococcales
709,Methanococci
710,Methanofastidiosales
711,Methanomassiliicoccales
712,Methanomethyliales
713,Methanomethylicia
714,Methanomicrobia
715,Methanomicrobiales
716,Methanonatronaechaeales
717,Methanonatronarchaeia
718,Methanopyrales
719,Methanopyri
720,Methanosarcinales
721,Methanosarcinia
722,Methanosarciniales
723,Methylacidiphilales
724,Methylococcales
725,Methylomirabilales
726,Methylomirabilia
727,Methylomirabilota
728,Micavibrionales
729,Micrarchaeales
730,Micrarchaeia
731,Micrarchaeia_or
732,Micrarchaeota
733,Micrococcales
734,Microgenomatia
735,Microgenomatia_or
736,Micromonosporales
737,Micropepsales
738,Microtrichales
739,MidBa8
740,Milano-WF1B-44
741,ML602M-17
742,mle1-8
743,mle1-27
744,Modulibacteria
745,Moduliflexales
746,Moduliflexia
747,Mollicutes
748,Mollicutes_unclassified
749,Monoglobales
750,Moorellales
751,Moorellia
752,MSB-4B10
753,MSB-5B2
754,MSB-5E12
755,MSBL2
756,MSBL5
757,MSBL9
758,MT5B39
759,MT5B39_or
760,MVP-15
761,MVP-15_or
762,MVP-21
763,MVP-88
764,Mycoplasmatales
765,Myxococcales
766,Myxococcia
767,Myxococcota
768,Myxococcota_unclassified
769,N9D0
770,N9D0_or
771,Nannocystales
772,Nanoarchaeaeota
773,Nanoarchaeaeota_unclassified
774,Nanoarchaeales
775,Nanoarchaeia
776,Nanoarchaeota
777,Nanohaloarchaeia
778,Nanohaloarchaeota
779,Nanosalinales
780,Nanosalinia
781,Napoli-4B-65
782,Natranaerobiales
783,Natranaerobiia
784,Nautiliales
785,NB1-j
786,NB1-j_cl
787,NB1-j_or
788,NC10
789,Negativicutes
790,Neosynechococcales
791,Nitriliruptorales
792,Nitriliruptoria
793,Nitrococcales
794,Nitrosocaldales
795,Nitrosococcales
796,Nitrosopumilales
797,Nitrososphaerales
798,Nitrososphaeria
799,Nitrosotaleales
800,Nitrospinae
801,Nitrospinales
802,Nitrospinia
803,Nitrospinota
804,Nitrospinota_cl
805,Nitrospinota_or
806,Nitrospira
807,Nitrospirae
808,Nitrospirales
809,Nitrospiria
810,Nitrospirota
811,NKB5
812,NKB15
813,NKB15_cl
814,NKB15_or
815,Nostocales
816,NRB23
817,NRL2
818,Obscuribacterales
819,OC31
820,OC31_or
821,Oceanospirillales
822,Odinarchaeia
823,Odinarchaeia_or
824,ODP123
825,ODP123_or
826,ODP1230B23.02
827,ODP1230B23.02_or
828,OLB14
829,OLB14_or
830,Oligoflexales
831,Oligoflexia
832,Oligoflexia_or
833,Oligosphaerales
834,Oligosphaeria
835,OM190
836,OM190_or
837,Omnitrophales
838,Omnitrophia
839,Omnitrophia_or
840,Omnitrophicaeota
841,Omnitrophicaeota_cl
842,Omnitrophicaeota_or
843,Omnitrophicaeota_unclassified
844,OPB41
845,OPB56
846,Opitutales
847,Orbales
848,Oscillospirales
849,Oxyphotobacteria
850,Oxyphotobacteria_Incertae_Sedis
851,Oxyphotobacteria_or
852,Oxyphotobacteria_unclassified
853,P0X4b2H11
854,P2-11E
855,P2-11E_or
856,P9X2b3D02
857,P9X2b3D02_or
858,P.palmC41
859,Paceibacterales
860,Paenibacillales
861,Paracaedibacterales
862,Parcubacteria
863,Parcubacteria_or
864,Parcubacteria_unclassified
865,Parvibaculales
866,Patescibacteria
867,Patescibacteria_unclassified
868,PAUC26f
869,PAUC34f
870,PAUC34f_cl
871,PAUC34f_or
872,PAUC43f_marine_benthic_group
873,PAUC43f_marine_benthic_group_or
874,PB19
875,Pedosphaerales
876,PeM15
877,Peptococcales
878,Peptostreptococcales-Tissierellales
879,Petrotogales
880,Phormidesmiales
881,Phycisphaerae
882,Phycisphaerae_unclassified
883,Phycisphaerales
884,Pirellulales
885,Piscirickettsiales
886,pItb-vmat-80
887,Pla1_lineage
888,Pla3_lineage
889,Pla3_lineage_or
890,Pla4_lineage
891,Pla4_lineage_or
892,Planctomycetacia
893,Planctomycetacia_unclassified
894,Planctomycetales
895,Planctomycetes
896,Planctomycetes_unclassified
897,Planctomycetota
898,Planctomycetota_unclassified
899,PLTA13
900,Polyangia
901,Polyangia_or
902,Polyangiales
903,Poribacteria
904,Poribacteria_cl
905,Poribacteria_or
906,Propionibacteriales
907,Proteinivoracales
908,Proteobacteria
909,Proteobacteria_cl
910,Proteobacteria_or
911,Proteobacteria_unclassified
912,PS-B29
913,Pseudanabaenales
914,Pseudomonadales
915,Pseudonocardiales
916,Puniceispirillales
917,Pyrinomonadales
918,R7C24
919,RBG-13-46-9
920,RBG-13-54-9
921,RBG-16-55-12
922,RBG-16-55-12_or
923,RCP2-54
924,RCP2-54_cl
925,RCP2-54_or
926,RD017
927,Reyranellales
928,RF39
929,Rhizobiales
930,Rhodobacterales
931,Rhodospirillales
932,Rhodothermales
933,Rhodothermia
934,Rhodovibrionales
935,Rickettsiales
936,Rokubacteria
937,Rokubacteriales
938,Rs-K70_termite_group
939,Rs-K70_termite_group_cl
940,Rs-K70_termite_group_or
941,Rs-M47
942,Rs-M47_or
943,RsaHf231
944,RsaHf231_cl
945,RsaHf231_or
946,Rubrobacterales
947,Rubrobacteria
948,Run-SP154
949,S0134_terrestrial_group
950,S0134_terrestrial_group_or
951,S085
952,S-70
953,S-BQ2-57_soil_group
954,Saccharimonadales
955,Saccharimonadia
956,Salinisphaerales
957,SAR11_clade
958,SAR86_clade
959,SAR202_clade
960,SAR324_clade(Marine_group_B)
961,SAR324_clade(Marine_group_B)_cl
962,SAR324_clade(Marine_group_B)_or
963,SBR1031
964,SCGC_AB-179-E04
965,Schekmanbacteria
966,Schekmanbacteria_cl
967,Schekmanbacteria_or
968,sediment-surface35
969,Selenomonadales
970,SepB-3
971,Sericytochromatia
972,Sericytochromatia_or
973,SG8-5
974,Sh765B-AG-111
975,Sh765B-TzT-20
976,SHA-26
977,SHA-26_or
978,Silva Class
979,Silva Order
980,Silvanigrellales
981,SJA-15
982,SJA-28
983,SL56_marine_group
984,SL56_marine_group_or
985,SM1A07
986,SM23-32
987,Sneathiellales
988,Solibacterales
989,Solirubrobacterales
990,SPG12-461-471-B8
991,Sphingobacteriales
992,Sphingomonadales
993,Spirochaetales
994,Spirochaetes
995,Spirochaetia
996,Spirochaetota
997,Spirochaetota_cl
998,Spirochaetota_or
999,SS1-B-02-17
1000,SS1-B-04-55
1001,SS1-B-07-19
1002,SS1-B-09-64
1003,Staphylococcales
1004,Steroidobacterales
1005,Streptomycetales
1006,Streptosporangiales
1007,Subgroup_2
1008,Subgroup_5
1009,Subgroup_5_or
1010,Subgroup_6
