Genus,Metabolism,Silvatax,methanotrophy,acetoclastic_methanogenesis,methanogenesis_by_disproportionation_of_methyl_groups,methanogenesis_using_formate,methanogenesis_by_CO2_reduction_with_H2,methanogenesis_by_reduction_of_methyl_compounds_with_H2,hydrogenotrophic_methanogenesis,methanogenesis,methanol_oxidation,methylotrophy,CH4_cyclicers
Methylomarinum,Methanotroph,Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylomonadaceae;Methylomarinum,1,0,0,0,0,0,0,0,0,0,1
Methylomicrobium,Methanotroph,Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylomonadaceae;Methylomicrobium,1,0,0,0,0,0,0,0,0,0,1
Methylomonas,Methanotroph,Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylomonadaceae;Methylomonas,1,0,0,0,0,0,0,0,1,0,1
Methylonatrum,Other C-1 cycler,Bacteria;Proteobacteria;Gammaproteobacteria;Nitrococcales;Nitrococcales_Incertae_Sedis;Methylonatrum,0,0,0,0,0,0,0,0,1,0,1
Methylophaga,Other C-1 cycler,Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Methylophagaceae;Methylophaga,0,0,0,0,0,0,0,0,1,0,1
Methylophilus,Other C-1 cycler,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Methylophilaceae;Methylophilus,0,0,0,0,0,0,0,0,1,0,1
Methylosarcina,Methanotroph,Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylomonadaceae;Methylosarcina,1,0,0,0,0,0,0,0,0,0,1
Methylosinus,Methanotroph,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylosinus,1,0,0,0,0,0,0,0,0,0,1
Methylosoma,Methanotroph,Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylomonadaceae;Methylosoma,1,0,0,0,0,0,0,0,0,0,1
Methyloterrigena,Other C-1 cycler,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Devosiaceae;Methyloterrigena,0,0,0,0,0,0,0,0,1,0,1
Methylothermus,Methanotroph,Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylohalobiaceae;Methylothermus,1,0,0,0,0,0,0,0,0,0,1
Methylovirgula,Other C-1 cycler,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylovirgula,0,0,0,0,0,0,0,0,1,0,1
Methylovulum,Methanotroph,Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylomonadaceae;Methylovulum,1,0,0,0,0,0,0,0,0,0,1
Microvirgula,Other C-1 cycler,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Aquaspirillaceae;Microvirgula,0,0,0,0,0,0,0,0,1,0,1
Moorella,Other C-1 cycler,Bacteria;Firmicutes;Moorellia;Moorellales;Moorellaceae;Moorella,0,0,0,0,0,0,0,0,1,0,1
Mycobacterium,Other C-1 cycler,Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium,0,0,0,0,0,0,0,0,1,0,1
Paracoccus,Other C-1 cycler,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus,0,0,0,0,0,0,0,0,1,1,1
Pseudomonas,Methanotroph,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,1,0,0,0,0,0,0,0,1,0,1
Sporomusa,Other C-1 cycler,Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Sporomusaceae;Sporomusa,0,0,0,0,0,0,0,0,1,0,1
Starkeya,Other C-1 cycler,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Starkeya,0,0,0,0,0,0,0,0,1,0,1
