,taxa,colors
789,Nitrococcales,#4dcc90
790,Nitrosocaldales,#e75dc1
791,Nitrosococcales,#538d2a
792,Nitrosopumilales,#586cd8
793,Nitrososphaerales,#dca831
794,Nitrososphaeria,#9049a2
795,Nitrosotaleales,#b2b33a
796,Nitrospinae,#d57ccb
797,Nitrospinales,#80bc6c
798,Nitrospinia,#e54486
799,Nitrospinota,#4fcfc3
800,Nitrospinota_cl,#df4b40
801,Nitrospinota_or,#4db9df
802,Nitrospira,#de632b
803,Nitrospirae,#5e91d3
804,Nitrospirales,#d68330
805,Nitrospiria,#4363a5
806,Nitrospirota,#9c8026
807,NKB5,#ae99e4
808,NKB15,#60751c
809,NKB15_cl,#7961a8
810,NKB15_or,#3d864a
811,Nostocales,#af3a77
812,NRB23,#66b78b
813,NRL2,#c3364e
814,Obscuribacterales,#2ba198
815,OC31,#aa4b28
816,OC31_or,#35896b
817,Oceanospirillales,#e2798a
818,Odinarchaeia,#1a6447
819,Odinarchaeia_or,#e390bf
820,ODP123,#306a3c
821,ODP123_or,#a56395
822,ODP1230B23.02,#4d6d30
823,ODP1230B23.02_or,#924869
824,OLB14,#aab56e
825,OLB14_or,#e38f6b
826,Oligoflexales,#666020
827,Oligoflexia,#d1a965
828,Oligoflexia_or,#966433
829,Oligosphaerales,#868949
830,Oligosphaeria,#069668
831,OM190,#c7eea8
832,OM190_or,#5d99aa
833,Omnitrophales,#81f4fe
834,Omnitrophia,#788ce0
835,Omnitrophia_or,#955ccd
836,Omnitrophicaeota,#f75ef0
837,Omnitrophicaeota_cl,#b95581
838,Omnitrophicaeota_or,#f89ade
839,Omnitrophicaeota_unclassified,#dad2de
840,OPB41,#7efc9d
841,OPB56,#4ba40b
842,Opitutales,#6f7d43
843,Orbales,#cfdf34
844,Oscillospirales,#e13224
845,Oxyphotobacteria,#faa566
846,Oxyphotobacteria_Incertae_Sedis,#bb5c2a
847,Oxyphotobacteria_or,#88fe0e
848,Oxyphotobacteria_unclassified,#e21c7a
849,P0X4b2H11,#ab8791
850,P2-11E,#399283
851,P2-11E_or,#3eeaef
852,P9X2b3D02,#154e56
853,P9X2b3D02_or,#40e18c
854,P.palmC41,#39970e
855,Paceibacterales,#b8e27d
856,Paenibacillales,#683c00
857,Paracaedibacterales,#ebb9c7
858,Parcubacteria,#f4327e
859,Parcubacteria_or,#8d102b
860,Parcubacteria_unclassified,#f76015
861,Parvibaculales,#bf711e
862,Patescibacteria,#eac328
863,Patescibacteria_unclassified,#1f3e9e
864,PAUC26f,#7b7ec0
865,PAUC34f,#aedbf0
866,PAUC34f_cl,#8d30ba
867,PAUC34f_or,#d179f8
868,PAUC43f_marine_benthic_group,#3f16f9
869,PAUC43f_marine_benthic_group_or,#fa2beb
870,PB19,#5a3e4f
871,Pedosphaerales,#c7628e
872,PeM15,#50e316
873,Peptococcales,#3f4c08
874,Peptostreptococcales-Tissierellales,#938073
875,Petrotogales,#FF0000
876,Phormidesmiales,#FF0F00
877,Phycisphaerae,#FF1F00
878,Phycisphaerae_unclassified,#FF2E00
879,Phycisphaerales,#FF3D00
880,Pirellulales,#FF4D00
881,Piscirickettsiales,#FF5C00
882,pItb-vmat-80,#FF6B00
883,Pla1_lineage,#FF7A00
884,Pla3_lineage,#FF8A00
885,Pla3_lineage_or,#FF9900
886,Pla4_lineage,#FFA800
887,Pla4_lineage_or,#FFB800
888,Planctomycetacia,#FFC700
889,Planctomycetacia_unclassified,#FFD600
890,Planctomycetales,#FFE500
891,Planctomycetes,#FFF500
892,Planctomycetes_unclassified,#FAFF00
893,Planctomycetota,#EBFF00
894,Planctomycetota_unclassified,#DBFF00
895,PLTA13,#CCFF00
896,Polyangia,#BDFF00
897,Polyangia_or,#ADFF00
898,Polyangiales,#9EFF00
899,Poribacteria,#8FFF00
900,Poribacteria_cl,#80FF00
901,Poribacteria_or,#70FF00
902,Propionibacteriales,#61FF00
903,Proteinivoracales,#52FF00
904,Proteobacteria,#42FF00
905,Proteobacteria_cl,#33FF00
906,Proteobacteria_or,#24FF00
907,Proteobacteria_unclassified,#14FF00
908,PS-B29,#05FF00
909,Pseudanabaenales,#00FF0A
910,Pseudomonadales,#00FF1A
911,Pseudonocardiales,#00FF29
912,Puniceispirillales,#00FF38
913,Pyrinomonadales,#00FF47
914,R7C24,#00FF57
915,RBG-13-46-9,#00FF66
916,RBG-13-54-9,#00FF75
917,RBG-16-55-12,#00FF85
918,RBG-16-55-12_or,#00FF94
919,RCP2-54,#00FFA3
920,RCP2-54_cl,#00FFB3
921,RCP2-54_or,#00FFC2
922,RD017,#00FFD1
923,Reyranellales,#00FFE0
924,RF39,#00FFF0
925,Rhizobiales,#00FFFF
926,Rhodobacterales,#00F0FF
927,Rhodospirillales,#00E0FF
928,Rhodothermales,#00D1FF
929,Rhodothermia,#00C2FF
930,Rhodovibrionales,#00B2FF
931,Rickettsiales,#00A3FF
932,Rokubacteria,#0094FF
933,Rokubacteriales,#0085FF
934,Rs-K70_termite_group,#0075FF
935,Rs-K70_termite_group_cl,#0066FF
936,Rs-K70_termite_group_or,#0057FF
937,Rs-M47,#0047FF
938,Rs-M47_or,#0038FF
939,RsaHf231,#0029FF
940,RsaHf231_cl,#0019FF
941,RsaHf231_or,#000AFF
942,Rubrobacterales,#0500FF
943,Rubrobacteria,#1400FF
944,Run-SP154,#2400FF
945,S0134_terrestrial_group,#3300FF
946,S0134_terrestrial_group_or,#4200FF
947,S085,#5200FF
948,S-70,#6100FF
949,S-BQ2-57_soil_group,#7000FF
950,Saccharimonadales,#8000FF
951,Saccharimonadia,#8F00FF
952,Salinisphaerales,#9E00FF
953,SAR11_clade,#AD00FF
954,SAR86_clade,#BD00FF
955,SAR202_clade,#CC00FF
956,SAR324_clade(Marine_group_B),#DB00FF
957,SAR324_clade(Marine_group_B)_cl,#EB00FF
958,SAR324_clade(Marine_group_B)_or,#FA00FF
959,SBR1031,#FF00F5
960,SCGC_AB-179-E04,#FF00E6
961,Schekmanbacteria,#FF00D6
962,Schekmanbacteria_cl,#FF00C7
963,Schekmanbacteria_or,#FF00B8
964,sediment-surface35,#FF00A8
965,Selenomonadales,#FF0099
966,SepB-3,#FF008A
967,Sericytochromatia,#FF007A
968,Sericytochromatia_or,#FF006B
969,SG8-5,#FF005C
970,Sh765B-AG-111,#FF004C
971,Sh765B-TzT-20,#FF003D
972,SHA-26,#FF002E
973,SHA-26_or,#FF001F
974,Silva Class,#FF000F
975,Silva Order,#45cc65
976,Silvanigrellales,#8e3ebc
977,SJA-15,#62ba3f
978,SJA-28,#9164dc
979,SL56_marine_group,#a75355
980,SL56_marine_group_or,#91ba33
981,SM1A07,#cd74e5
982,SM23-32,#33a150
983,Sneathiellales,#b8319c
984,Solibacterales,#4dcc90
985,Solirubrobacterales,#e75dc1
986,SPG12-461-471-B8,#538d2a
987,Sphingobacteriales,#586cd8
988,Sphingomonadales,#dca831
989,Spirochaetales,#9049a2
990,Spirochaetes,#b2b33a
991,Spirochaetia,#d57ccb
992,Spirochaetota,#80bc6c
993,Spirochaetota_cl,#e54486
994,Spirochaetota_or,#4fcfc3
995,SS1-B-02-17,#df4b40
996,SS1-B-04-55,#4db9df
997,SS1-B-07-19,#de632b
998,SS1-B-09-64,#5e91d3
999,Staphylococcales,#d68330
1000,Steroidobacterales,#4363a5
1001,Streptomycetales,#9c8026
1002,Streptosporangiales,#ae99e4
1003,Subgroup_2,#60751c
1004,Subgroup_5,#7961a8
1005,Subgroup_5_or,#3d864a
1006,Subgroup_6,#af3a77
1007,Subgroup_6_or,#66b78b
1008,Subgroup_6_unclassified,#c3364e
1009,Subgroup_7,#2ba198
1010,Subgroup_9,#aa4b28
1011,Subgroup_9_or,#35896b
1012,Subgroup_11,#e2798a
1013,Subgroup_11_or,#1a6447
1014,Subgroup_12,#e390bf
1015,Subgroup_13,#306a3c
1016,Subgroup_15,#a56395
1017,Subgroup_15_or,#4d6d30
1018,Subgroup_17,#924869
1019,Subgroup_17_or,#aab56e
1020,Subgroup_18,#e38f6b
1021,Subgroup_18_or,#666020
1022,Subgroup_19,#d1a965
1023,Subgroup_19_or,#966433
1024,Subgroup_20,#868949
1025,Subgroup_20_or,#069668
1026,Subgroup_21,#c7eea8
1027,Subgroup_21_or,#5d99aa
1028,Subgroup_22,#81f4fe
1029,Subgroup_22_or,#788ce0
1030,Subgroup_25,#955ccd
1031,Subgroup_25_or,#f75ef0
1032,Subgroup_26,#b95581
1033,Subgroup_26_or,#f89ade
1034,Sulfobacillales,#dad2de
1035,Sulfobacillia,#7efc9d
1036,Sulfolobales,#4ba40b
1037,Sumerlaeales,#6f7d43
1038,Sumerlaeia,#cfdf34
1039,Sumerlaeota,#e13224
1040,Sva0485,#faa566
1041,Sva0485_cl,#bb5c2a
1042,Sva0485_or,#88fe0e
1043,Symbiobacteriales,#e21c7a
1044,Symbiobacteriia,#ab8791
1045,Synechococcales,#399283
1046,Synergistales,#3eeaef
1047,Synergistetes,#154e56
1048,Synergistia,#40e18c
1049,Synergistota,#39970e
1050,Syntrophales,#b8e27d
1051,Syntrophia,#683c00
1052,Syntrophobacterales,#ebb9c7
1053,Syntrophobacteria,#f4327e
1054,Syntrophomonadales,#8d102b
1055,Syntrophomonadia,#f76015
1056,Syntrophorhabdales,#bf711e
1057,Syntrophorhabdia,#eac328
1058,SZB30,#1f3e9e
1059,SZB50,#7b7ec0
1060,t0.6.f,#aedbf0
1061,TA06,#8d30ba
1062,TA06_cl,#d179f8
1063,TA06_or,#3f16f9
1064,TDNP-Wbc97-11-7-16,#fa2beb
1065,Tenderiales,#5a3e4f
1066,Tenericutes,#c7628e
1067,Tepidisphaerales,#50e316
1068,Thalassobaculales,#3f4c08
1069,Thaumarchaeota,#938073
1070,Thermacetogenia,#FF0000
1071,Thermacetogeniales,#FF0F00
1072,Thermaerobacterales,#FF1F00
1073,Thermaerobacteria,#FF2E00
1074,Thermales,#FF3D00
1075,Thermicanales,#FF4D00
1076,Thermincolales,#FF5C00
1077,Thermincolia,#FF6B00
1078,Thermoactinomycetales,#FF7A00
1079,Thermoanaerobacterales,#FF8A00
1080,Thermoanaerobacteria,#FF9900
1081,Thermoanaerobaculales,#FFA800
1082,Thermoanaerobaculia,#FFB800
1083,Thermobaculales,#FFC700
1084,Thermococcales,#FFD600
1085,Thermococci,#FFE500
1086,Thermodesulfobacteria,#FFF500
1087,Thermodesulfobacteriales,#FAFF00
1088,Thermodesulfobiales,#EBFF00
1089,Thermodesulfobiia,#DBFF00
1090,Thermodesulfobiota,#CCFF00
1091,Thermodesulfovibrionales,#BDFF00
1092,Thermodesulfovibrionia,#ADFF00
1093,Thermoflexales,#9EFF00
1094,Thermoleophilia,#8FFF00
1095,Thermolithobacterales,#80FF00
1096,Thermomicrobiales,#70FF00
1097,Thermophilales,#61FF00
1098,Thermoplasmata,#52FF00
1099,Thermoplasmata_or,#42FF00
1100,Thermoplasmata_unclassified,#33FF00
1101,Thermoplasmatales,#24FF00
1102,Thermoplasmatota,#14FF00
1103,Thermoplasmatota_cl,#05FF00
1104,Thermoplasmatota_or,#00FF0A
1105,Thermoplasmatota_unclassified,#00FF1A
1106,Thermoproteales,#00FF29
1107,Thermoprotei,#00FF38
1108,Thermosulfidibacterales,#00FF47
1109,Thermosulfidibacteria,#00FF57
1110,Thermosulfidibacterota,#00FF66
1111,Thermosynechococcales,#00FF75
1112,Thermotogae,#00FF85
1113,Thermotogae_or,#00FF94
1114,Thermotogales,#00FFA3
1115,Thermotogota,#00FFB3
1116,Thermovenabulales,#00FFC2
1117,Thermovenabulia,#00FFD1
1118,Thiohalorhabdales,#00FFE0
1119,Thiomicrospirales,#00FFF0
1120,Thiotrichales,#00FFFF
1121,Tistrellales,#00F0FF
1122,TK10,#00E0FF
1123,TK10_or,#00D1FF
1124,TK17,#00C2FF
1125,TK17_or,#00B2FF
1126,TSAC18,#00A3FF
1127,TSAC18_or,#0094FF
1128,TSBb06,#0085FF
1129,TTA-B61,#0075FF
1130,TTA-B61_or,#0066FF
1131,UA11,#0057FF
1132,UASB-TL25,#0047FF
1133,UBA4486,#0038FF
1134,UBA9983,#0029FF
1135,UBA10353_marine_group,#0019FF
1136,uncultured,#000AFF
1137,uncultured_cl,#0500FF
1138,uncultured_or,#1400FF
1139,Unknown_Order,#2400FF
1140,V2072-189E03,#3300FF
1141,V2072-189E03_or,#4200FF
1142,vadinBA26,#5200FF
1143,vadinHA49,#6100FF
1144,vadinHA49_or,#7000FF
1145,Vampirivibrionia,#8000FF
1146,Vampirovibrionales,#8F00FF
1147,Veillonellales-Selenomonadales,#9E00FF
1148,Verrucomicrobia,#AD00FF
1149,Verrucomicrobiae,#BD00FF
1150,Verrucomicrobiae_unclassified,#CC00FF
1151,Verrucomicrobiales,#DB00FF
1152,Verrucomicrobiota,#EB00FF
1153,Verrucomicrobiota_unclassified,#FA00FF
1154,VHS-B3-70,#FF00F5
1155,VHS-B4-70,#FF00E6
1156,Vibrionales,#FF00D6
1157,Vicinamibacterales,#FF00C7
1158,Vicinamibacteria,#FF00B8
1159,Victivallales,#FF00A8
1160,WCHB1-41,#FF0099
1161,WCHB1-81,#FF008A
1162,WCHB1-81_or,#FF007A
1163,WD260,#FF006B
1164,WN-HWB-116,#FF005C
1165,Woesearchaeales,#FF004C
1166,Woesearchaeia,#FF003D
1167,Woesearchaeia_or,#FF002E
1168,WOR-1,#FF001F
1169,WOR-1_cl,#FF000F
1170,WOR-1_or,#45cc65
1171,WPS-2,#8e3ebc
1172,WPS-2_cl,#62ba3f
1173,WPS-2_or,#9164dc
1174,WS1,#a75355
1175,WS1_cl,#91ba33
1176,WS1_or,#cd74e5
1177,WS2,#33a150
1178,WS2_cl,#b8319c
1179,WS2_or,#4dcc90
1180,WS4,#e75dc1
1181,WS4_cl,#538d2a
1182,WS4_or,#586cd8
1183,WWE3,#dca831
1184,WWE3_or,#9049a2
1185,Xanthomonadales,#b2b33a
1186,YNPFFP2,#d57ccb
1187,YNPFFP2_or,#80bc6c
1188,Zavarziniales,#e54486
1189,Zetaproteobacteria,#4fcfc3
1190,Zixibacteria,#df4b40
1191,Zixibacteria_cl,#4db9df
1192,Zixibacteria_or,#de632b
