taxa,colors
CH2b56,#7A4900
CHAB-XI-27,#0000A6
Chitinivibrionales,#63FFAC
Chitinivibrionia,#B79762
Chitinophagales,#004D43
Chlamydiae,#8FB0FF
Chlamydiales,#997D87
Chloracidobacteriales,#5A0007
Chlorobia,#809693
Chlorobiales,#FEFFE6
Chloroflexales,#1B4400
Chloroflexi,#4FC601
Chloroflexi_cl,#3B5DFF
Chloroflexi_or,#4A3B53
Chloroflexi_unclassified,#FF2F80
Chloroflexia,#61615A
Chloroflexia_unclassified,#BA0900
Chloroplast,#6B7900
Christensenellales,#00C2A0
Chromatiales,#FFAA92
Chrysiogenales,#FF90C9
Chrysiogenetes,#B903AA
Chrysiogenetota,#D16100
Chthoniobacterales,#DDEFFF
Chthonomonadales,#000035
Chthonomonadetes,#7B4F4B
CK-2C2-2,#A1C299
CK-2C2-2_cl,#300018
CK-2C2-2_or,#0AA6D8
Cloacimonadales,#013349
Cloacimonadia,#00846F
Cloacimonadota,#372101
Clostridia,#FFB500
Clostridia_Incertae_Sedis,#C2FFED
Clostridia_or,#A079BF
Clostridia_UCG-014,#CC0744
Clostridia_vadinBB60_group,#C0B9B2
Clostridiales,#C2FF99
Competibacterales,#001E09
Coprothermobacterales,#00489C
Coprothermobacteria,#6F0062
Coprothermobacterota,#0CBD66
Coriobacteriales,#EEC3FF
Coriobacteriia,#456D75
Corynebacteriales,#B77B68
Coxiellales,#7A87A1
CPR2,#788D66
CPR2_or,#885578
Crenarchaeota,#FAD09F
Crenarchaeota_unclassified,#FF8A9A
Cyanobacteria,#D157A0
Cyanobacteria_unclassified,#BEC459
Cyanobacteriales,#456648
Cyanobacteriia,#0086ED
Cyanobacteriia_or,#886F4C
Cytophagales,#34362D
d142,#B4A8BD
d142_or,#00A6AA
D8A-2,#452C2C
D8A-2_or,#636375
D90,#A3C8C9
Dadabacteria,#FF913F
Dadabacteriales,#938A81
Dadabacteriia,#575329
Deep_Sea_Euryarchaeotic_Group(DSEG),#00FECF
Deep_Sea_Euryarchaeotic_Group(DSEG)_or,#B05B6F
Deferribacterales,#8CD0FF
Deferribacteres,#3B9700
Deferribacterota,#04F757
Deferrisomatota,#C8A1A1
Defferrisomatales,#1E6E00
Defferrisomatia,#7900D7
Defluviicoccales,#A77500
Dehalococcoidales,#6367A9
Dehalococcoidia,#A05837
Dehalococcoidia_or,#6B002C
Dehalococcoidia_unclassified,#772600
Deinococcales,#D790FF
Deinococci,#9B9700
Deinococci_unclassified,#549E79
Deinococcota,#FFF69F
Deinococcus-Thermus,#201625
Deltaproteobacteria,#72418F
Deltaproteobacteria_Incertae_Sedis,#BC23FF
Deltaproteobacteria_unclassified,#99ADC0
Dependentiae,#3A2465
Desantisbacteria,#922329
Desantisbacteria_cl,#5B4534
Desantisbacteria_or,#FDE8DC
Desulfarculales,#404E55
Desulfarculia,#0089A3
Desulfatiglandales,#CB7E98
Desulfitibacterales,#A4E804
Desulfitobacteriales,#324E72
Desulfitobacteriia,#6A3A4C
Desulfobaccales,#83AB58
Desulfobaccia,#001C1E
Desulfobacterales,#D1F7CE
Desulfobacteria,#004B28
Desulfobacterota,#C8D0F6
Desulfobacterota_unclassified,#A3A489
Desulfobulbales,#806C66
Desulfobulbia,#222800
Desulfofervidales,#BF5650
Desulfofervidia,#E83000
Desulfomonilales,#66796D
Desulfomonilia,#DA007C
Desulfotomaculales,#FF1A59
Desulfotomaculia,#8ADBB4
Desulfovibrionales,#1E0200
Desulfovibrionia,#5B4E51
Desulfurellales,#C895C5
Desulfurellia,#320033
